"","x"
"1",-100
"2",-99
"3",-98
"4",-97
"5",-96
"6",-95
"7",-94
"8",-93
"9",-92
"10",-91
"11",-90
"12",-89
"13",-88
"14",-87
"15",-86
"16",-85
"17",-84
"18",-83
"19",-82
"20",-81
"21",-80
"22",-79
"23",-78
"24",-77
"25",-76
"26",-75
"27",-74
"28",-73
"29",-72
"30",-71
"31",-70
"32",-69
"33",-68
"34",-67
"35",-66
"36",-65
"37",-64
"38",-63
"39",-62
"40",-61
"41",-60
"42",-59
"43",-58
"44",-57
"45",-56
"46",-55
"47",-54
"48",-53
"49",-52
"50",-51
"51",-50
"52",-49
"53",-48
"54",-47
"55",-46
"56",-45
"57",-44
"58",-43
"59",-42
"60",-41
"61",-40
"62",-39
"63",-38
"64",-37
"65",-36
"66",-35
"67",-34
"68",-33
"69",-32
"70",-31
"71",-30
"72",-29
"73",-28
"74",-27
"75",-26
"76",-25
"77",-24
"78",-23
"79",-22
"80",-21
"81",-20
"82",-19
"83",-18
"84",-17
"85",-16
"86",-15
"87",-14
"88",-13
"89",-12
"90",-11
"91",-10
"92",-9
"93",-8
"94",-7
"95",-6
"96",-5
"97",-4
"98",-3
"99",-2
"100",-1
"101",0
"102",1
"103",2
"104",3
"105",4
"106",5
"107",6
"108",7
"109",8
"110",9
"111",10
"112",11
"113",12
"114",13
"115",14
"116",15
"117",16
"118",17
"119",18
"120",19
"121",20
"122",21
"123",22
"124",23
"125",24
"126",25
"127",26
"128",27
"129",28
"130",29
"131",30
"132",31
"133",32
"134",33
"135",34
"136",35
"137",36
"138",37
"139",38
"140",39
"141",40
"142",41
"143",42
"144",43
"145",44
"146",45
"147",46
"148",47
"149",48
"150",49
"151",50
"152",51
"153",52
"154",53
"155",54
"156",55
"157",56
"158",57
"159",58
"160",59
"161",60
"162",61
"163",62
"164",63
"165",64
"166",65
"167",66
"168",67
"169",68
"170",69
"171",70
"172",71
"173",72
"174",73
"175",74
"176",75
"177",76
"178",77
"179",78
"180",79
"181",80
"182",81
"183",82
"184",83
"185",84
"186",85
"187",86
"188",87
"189",88
"190",89
"191",90
"192",91
"193",92
"194",93
"195",94
"196",95
"197",96
"198",97
"199",98
"200",99
"201",100
